Market_size,Market_rank,Year,Year,% of All Fans Ranking Team As Favorite
Big,1,New York Knicks,2013,5.8
Big,1,New York Knicks,2015,4.7
Big,1,New York Knicks,2016,4.2
Big,1,New York Knicks,2017,5.4
Big,2,Brooklyn Nets,2013,1.6
Big,2,Brooklyn Nets,2015,1.8
Big,2,Brooklyn Nets,2016,0.9
Big,2,Brooklyn Nets,2017,1.4
Big,3,Los Angeles Lakers,2013,9.3
Big,3,Los Angeles Lakers,2015,10.2
Big,3,Los Angeles Lakers,2016,10.2
Big,3,Los Angeles Lakers,2017,7.1
Big,4,Los Angeles Clippers,2013,1.2
Big,4,Los Angeles Clippers,2015,2.4
Big,4,Los Angeles Clippers,2016,1.1
Big,4,Los Angeles Clippers,2017,1.3
Big,5,Chicago Bulls,2013,10.4
Big,5,Chicago Bulls,2015,10.9
Big,5,Chicago Bulls,2016,11
Big,5,Chicago Bulls,2017,9.6
Big,6,Toronto Raptors,2013,0.1
Big,6,Toronto Raptors,2015,0.1
Big,6,Toronto Raptors,2016,0.4
Big,6,Toronto Raptors,2017,0.2
Big,7,Philadelphia 76ers,2013,2.1
Big,7,Philadelphia 76ers,2015,2.4
Big,7,Philadelphia 76ers,2016,2.3
Big,7,Philadelphia 76ers,2017,2.2
Big,8,Dallas Mavericks,2013,4.8
Big,8,Dallas Mavericks,2015,4.3
Big,8,Dallas Mavericks,2016,2.9
Big,8,Dallas Mavericks,2017,3.1
Big,9,Washington Wizards,2013,0.7
Big,9,Washington Wizards,2015,0.5
Big,9,Washington Wizards,2016,0.9
Big,9,Washington Wizards,2017,1.9
Big,10,Houston Rockets,2013,3
Big,10,Houston Rockets,2015,2.9
Big,10,Houston Rockets,2016,2.5
Big,10,Houston Rockets,2017,2.9
Mid,11,Golden State Warriors,2013,1.6
Mid,11,Golden State Warriors,2015,4.8
Mid,11,Golden State Warriors,2016,12.4
Mid,11,Golden State Warriors,2017,13.1
Mid,12,Atlanta Hawks,2013,1.8
Mid,12,Atlanta Hawks,2015,2.1
Mid,12,Atlanta Hawks,2016,1.5
Mid,12,Atlanta Hawks,2017,1.4
Mid,13,Boston Celtics,2013,11.3
Mid,13,Boston Celtics,2015,8.4
Mid,13,Boston Celtics,2016,5.9
Mid,13,Boston Celtics,2017,8.1
Mid,14,Phoenix Suns,2013,1.5
Mid,14,Phoenix Suns,2015,1.6
Mid,14,Phoenix Suns,2016,1.2
Mid,14,Phoenix Suns,2017,1.8
Mid,15,Detroit Pistons,2013,2.7
Mid,15,Detroit Pistons,2015,2.8
Mid,15,Detroit Pistons,2016,1.9
Mid,15,Detroit Pistons,2017,2.6
Mid,16,Minnesota Timberwolves,2013,2.3
Mid,16,Minnesota Timberwolves,2015,1.6
Mid,16,Minnesota Timberwolves,2016,2
Mid,16,Minnesota Timberwolves,2017,1.4
Mid,17,Miami Heat,2013,10.4
Mid,17,Miami Heat,2015,5.6
Mid,17,Miami Heat,2016,3.5
Mid,17,Miami Heat,2017,2.8
Mid,18,Denver Nuggets,2013,1.6
Mid,18,Denver Nuggets,2015,1.9
Mid,18,Denver Nuggets,2016,1.6
Mid,18,Denver Nuggets,2017,0.8
Mid,19,Orlando Magic,2013,1.4
Mid,19,Orlando Magic,2015,1
Mid,19,Orlando Magic,2016,1.3
Mid,19,Orlando Magic,2017,0.9
Mid,20,Cleveland Cavaliers,2013,1.7
Mid,20,Cleveland Cavaliers,2015,7
Mid,20,Cleveland Cavaliers,2016,9.8
Mid,20,Cleveland Cavaliers,2017,8.6
Small,21,Sacramento Kings,2013,0.5
Small,21,Sacramento Kings,2015,1.1
Small,21,Sacramento Kings,2016,0.8
Small,21,Sacramento Kings,2017,1.1
Small,22,Portland Trail Blazers,2013,2.2
Small,22,Portland Trail Blazers,2015,2
Small,22,Portland Trail Blazers,2016,1.6
Small,22,Portland Trail Blazers,2017,1.8
Small,23,Charlotte Hornets,2013,1.4
Small,23,Charlotte Hornets,2015,1.9
Small,23,Charlotte Hornets,2016,1.5
Small,23,Charlotte Hornets,2017,1.7
Small,24,Indiana Pacers,2013,1.7
Small,24,Indiana Pacers,2015,1.3
Small,24,Indiana Pacers,2016,1.6
Small,24,Indiana Pacers,2017,1.7
Small,25,Utah Jazz,2013,1.2
Small,25,Utah Jazz,2015,1.2
Small,25,Utah Jazz,2016,1.2
Small,25,Utah Jazz,2017,1
Small,26,San Antonio Spurs,2013,5.1
Small,26,San Antonio Spurs,2015,4.2
Small,26,San Antonio Spurs,2016,4.3
Small,26,San Antonio Spurs,2017,3.8
Small,27,Milwaukee Bucks,2013,1
Small,27,Milwaukee Bucks,2015,1.4
Small,27,Milwaukee Bucks,2016,1.4
Small,27,Milwaukee Bucks,2017,1.8
Small,28,Oklahoma City Thunder,2013,2.2
Small,28,Oklahoma City Thunder,2015,1.6
Small,28,Oklahoma City Thunder,2016,1.9
Small,28,Oklahoma City Thunder,2017,1.9
Small,29,Memphis Grizzlies,2013,0.7
Small,29,Memphis Grizzlies,2015,0.7
Small,29,Memphis Grizzlies,2016,0.5
Small,29,Memphis Grizzlies,2017,0.5
Small,30,New Orleans Pelicans,2013,0.5
Small,30,New Orleans Pelicans,2015,1.3
Small,30,New Orleans Pelicans,2016,0.6
Small,30,New Orleans Pelicans,2017,0.8
